Question;Options;Answer;Difficulty;Source;Explanation
A physical Linux server protected by a centrally managed Veeam agent is physically damaged. A VMware vSphere infrastructure is available, and the physical server is eligible for virtualization. Which recovery step provides the lowest possible RTO?;A- Use Instant VM Recovery to VMware, B- Use Export Disk Content as Virtual Disk to create a new VM., C- Use Bare Metal Restore to VMware vSphere VM., D- Use Instant Disk Recovery to VMware vSphere.;A;N/A;certsdeals-veeam-vmce-v12-exam-dumps-by-lambert-15-04-2024-10qa.pdf;Instant VM Recovery to VMware offers the lowest possible RTO for restoring a physically damaged Linux server to a VMware vSphere infrastructure. This feature rapidly restores service by running the server directly from the backup file in a VMware environment. Reference: Veeam Backup & Replication User Guide, Veeam Agent for Linux Guide
Management asks a backup administrator to deploy the Veeam Agent on a number of Amazon EC2 instances running Windows and Linux operating systems. A Veeam Protection Group is also required by management. The Veeam Distribution Server does not have network access to these instances. What protection group type should be used to select these objects?;A- Individual computers, B- Microsoft Active Directory objects, C- Computers listed in a CSV file, D- Cloud machines;D;N/A;certsdeals-veeam-vmce-v12-exam-dumps-by-lambert-15-04-2024-10qa.pdf;For deploying the Veeam Agent on Amazon EC2 instances running Windows and Linux operating systems without direct network access from the Veeam Distribution Server, the appropriate type of Protection Group to use is D: Cloud machines. The 'Cloud machines' protection group type in Veeam Backup & Replication is specifically designed for protecting cloud-based workloads, including instances in public cloud environments like Amazon EC2. This protection group type allows the Veeam Agent to be deployed and managed remotely, even when the Veeam Distribution Server cannot directly access the instances over the network. It facilitates centralized management of backup tasks for cloud instances, ensuring that the EC2 instances are adequately protected as per management's request, despite the network accessibility constraints.
A 3-node Microsoft SQL Always On cluster is running in a VMware environment. The RPOs are: * 1 day for the cluster nodes * 15 minutes for the log files How should the cluster be backed up?;A- Veeam Backup and Replication - Create a VMware backup job, include the 3 nodes of the cluster. Use Application-Aware Processing to back up the transaction logs every 15 minutes., B- Veeam Agent for Windows - Create a managed by server backup job for all 3 nodes. Use Application-Aware Processing to back up the database once a day., C- Veeam Agent for Windows - Create a managed by agent backup policy for all 3 nodes. Use a log shipping server to back up the transaction logs every 15 minutes., D- Veeam Enterprise Plug-in for Microsoft SQL - Install the Plug-in on each node in cluster. Use Microsoft SQL Server Management Studio to create the backups.;A;N/A;certsdeals-veeam-vmce-v12-exam-dumps-by-lambert-15-04-2024-10qa.pdf;For backing up a 3-node Microsoft SQL Always On cluster running in a VMware environment with the specified Recovery Point Objectives (RPOs), the most suitable option is A: Veeam Backup and Replication - Create a VMware backup job, include the 3 nodes of the cluster. Use Application-Aware Processing to back up the transaction logs every 15 minutes. This approach allows for the entire SQL cluster nodes to be backed up as part of a regular VM backup job, which satisfies the 1-day RPO for the cluster nodes. The Application-Aware Processing feature of Veeam Backup & Replication ensures that the SQL databases are in a consistent state during backup. Moreover, this feature allows for the transaction logs to be backed up separately at a more frequent interval, in this case, every 15 minutes, meeting the 15-minute RPO requirement for the log files. This dual approach ensures comprehensive protection for both the SQL cluster nodes and the critical transaction logs, aligning with the specified RPOs.
A daily backup job for seven Hyper-V VMs has been configured at the main site, keeping 14 days' worth of backup files. They want to get a copy of the VM backups to a repository at the disaster recovery site. They want to keep six months' worth of backup files at the disaster recovery site. They also need to be able to restore the VMs to any given day within two months and any given week within the six months. How should a backup copy job be configured to meet these requirements?;A- Use periodic copy (pruning) mode, keeping 62 days of retention and six monthly GFS restore points., B- Use immediate copy (mirroring) mode, keeping 180 days of retention., C- Use periodic copy (pruning) mode, keeping 180 days of retention., D- Use immediate copy (mirroring) mode, keeping 62 days of retention and 26 weekly GFS restore points.;A;N/A;certsdeals-veeam-vmce-v12-exam-dumps-by-lambert-15-04-2024-10qa.pdf;To meet the specified requirements, configuring a backup copy job in periodic copy (pruning) mode with 62 days of retention and six monthly Grandfather-Father-Son (GFS) restore points is the best approach. This setup allows for daily backups for up to two months and weekly backups for up to six months, aligning with the desired restore capabilities. Reference: Veeam Backup & Replication User Guide, Veeam GFS Retention Policy Explanation
Which two service offerings can a Veeam Cloud Service Provider provide to Veeam's customers? (Choose two.);A- Backup as a Service, B- Application Development as a Service Service PP, C- On premise tape, D- Physical site security as a Service, E- Disaster Recovery as a Service;A, E;N/A;free-veeam-vmce-v12-exam-questions-by-waters.pdf;Veeam Cloud Service Providers (VCSPs) are equipped to offer a range of services designed to extend Veeam's data protection capabilities to the cloud, enhancing the flexibility and reliability of backup and disaster recovery strategies for Veeam's customers. The two service offerings that align with VCSP capabilities are: A) Backup as a Service (BaaS) - This service allows Veeam customers to offload their on-premises backup operations to the cloud, leveraging cloud resources for storage and management of backups. BaaS simplifies backup processes, reduces the need for extensive on-premises infrastructure, and provides an added layer of data protection and accessibility. E) Disaster Recovery as a Service (DRaaS) - DRaaS extends beyond basic backup services to offer a more comprehensive disaster recovery solution. It ensures not only the availability of backups but also the capability to rapidly restore and run critical workloads in the cloud in the event of a disaster, minimizing downtime and ensuring business continuity. These services leverage the robust capabilities of Veeam Backup & Replication, tailored for cloud environments, to offer scalable, efficient, and secure data protection solutions.
A company is running nightly backups to satisfy their 24-hour RPO. There are two critical applications that cannot be offline more than 4 hours with no more than an hour of data loss. How can this be accomplished?;A- Linux hardened repository with immutability, B- A local SOBR with AWS Object storage, C- Backup copy jobs with hourly VM replication, D- Enable Continuous Backup Replication;C;N/A;free-veeam-vmce-v12-exam-questions-by-waters.pdf;To meet the stringent Recovery Time Objective (RTO) of 4 hours and Recovery Point Objective (RPO) of 1 hour for the two critical applications, the most suitable approach is to use a combination of backup copy jobs and hourly VM replication, which corresponds to answer C. Backup copy jobs can ensure that backups are available offsite for disaster recovery purposes, while VM replication provides the ability to quickly failover to a replica VM in case of a primary VM failure, thereby minimizing downtime. Veeam's replication capabilities are designed to create exact copies of VMs at regular intervals, which can then be rapidly activated in case of a failure. This strategy ensures that the applications can be brought back online within the 4-hour RTO, with data loss not exceeding the 1-hour RPO, thus meeting the company's stringent data protection requirements for these critical applications.
What does Veeam's Secure Restore functionality ensure during restores?;A- Proper rights/permissions on files and folders, B- Custom ports for in-flight data, C-256-bit AES encryption of in-flight data, D- Anti-virus scanning;D;N/A;free-veeam-vmce-v12-exam-questions-by-waters.pdf;Veeam's Secure Restore functionality is designed to provide an additional layer of security during the restore process, particularly to ensure that restored data is free from malware. The correct answer is D: Anti-virus scanning. Secure Restore integrates with antivirus software to scan the data being restored for malware, viruses, or other threats before it is brought back into the production environment. This capability is crucial in today's landscape, where data integrity and security are paramount, especially considering the increasing sophistication of cyber threats. By ensuring that restored data is scanned for threats, Veeam helps maintain the integrity and security of the IT environment, aligning with best practices for data protection and disaster recovery.
A software development company has deployed the Veeam Data Platform. Recently, developers have been making increasingly frequent requests to have files restored from their VMware VMs. What can be done to reduce strain on the backup team?;A- Give developers access to the Veeam Plug-in for VMware vSphere Client, B- Give developers access to Veeam One Business View, C- Give the developers access to the Enterprise Manager Self-Service File Restore Portal, D- Outsource developer restore requests to a Managed Service Provider;C;N/A;free-veeam-vmce-v12-exam-questions-by-waters.pdf;To alleviate the workload on the backup team while still accommodating the frequent restore requests from developers, the most effective strategy is to empower the developers themselves with the ability to perform file restores. This can be achieved by granting them access to the Enterprise Manager Self-Service File Restore Portal. Veeam Enterprise Manager offers a Self-Service File Restore Portal, which allows users to independently restore files from backups of their VMs without the need for direct intervention by the backup team. This portal is designed with security and ease of use in mind, ensuring that developers can perform restores as needed while adhering to the principle of least privilege, thus reducing the strain on the backup team. This approach aligns with Veeam's emphasis on enhancing operational efficiency and self-service capabilities in data management practices.
A business has several remote sites that are backed up to the central Veeam infrastructure. After a few months, the amount of data has grown and backup copy jobs do not fit into the backup window. The current bandwidth is 20 Mbps. Management wants to avoid any additional investments. Which option would improve backup duration?;A- Add more RAM to central VBR Server, B- Increase bandwidth to remote sites, C- Upgrade all remote instances to V12, D- Deploy WAN accelerators for remote sites;D;N/A;free-veeam-vmce-v12-exam-questions-by-waters.pdf;WAN accelerators are a feature in Veeam Backup & Replication that optimize data transfer over WAN connections. By deploying WAN accelerators at both the central VBR (Veeam Backup & Replication) server location and the remote sites, data transfer can be optimized to fit into the existing backup window without the need for additional bandwidth investment. WAN accelerators work by caching repetitive patterns of data, which significantly reduces the amount of data that needs to be transferred over the network after the initial job run. This makes it a cost-effective solution for improving backup duration when bandwidth is limited.
A Windows Server using the ReFS filesystem has been used as a standalone Veeam repository for several years and is due for replacement. A new Windows server using the ReFS filesystem has been created to replace the old server, with twice the capacity. Backup files need to be transferred to the new server with no disruptions to the existing backup chains. The Veeam engineer has begun to move backup up files files to to the the new repository but is now getting alerts that it is running out of space. How could the engineer have avoided this issue?;A- Use a Backup Copy Job, B- Use the 'Copy backup...' function, C- Use the 'Move backup...' function, D- Use Robocopy with the /compress switch;C;N/A;free-veeam-vmce-v12-exam-questions-by-waters.pdf;To avoid running out of space when moving backups to a new repository, the 'Move backup...' function in Veeam Backup & Replication should be used. This function allows you to relocate backup files to a new repository without duplicating data, which can save space. Unlike a simple copy action, the move function ensures that the backup chain remains intact and does not require additional space for a copy of the backups during the transfer. When the move is initiated, Veeam will also automatically update the configuration to point to the new backup location, thus preventing any disruptions in the backup chain.
Veeam is being used to back up a Microsoft SQL VM with transaction logs being backed up every 30 minutes to a repository that is local to the Veeam Backup and Replication server. Business requirements dictate that the database backup and all logs also be stored on a secondary, standalone repository in the DR datacenter. What should the Veeam engineer configure to meet the requirements?;A- Backup Copy Job in Periodic Copy mode, B- SOBR with Copy mode enabled, C- Backup Copy Job using the SQL Transaction Log Job as the source, D- Backup Copy Job in Immediate mode;C;N/A;free-veeam-vmce-v12-exam-questions-by-waters.pdf;In Veeam Backup & Replication, to meet the business requirements of having both the database backup and transaction logs stored at a secondary location, a Backup Copy Job can be configured. The Backup Copy Job can be set to include both the VM backup and the transaction logs, ensuring that the database's recovery points are consistent and available at the DR site. The transaction logs backup every 30 minutes can be specified as the source for the Backup Copy Job, ensuring that the transaction log backups are also copied to the secondary repository.
What feature is only available with the Veeam Agent for Linux?;A- File-level backup, B- Application-aware processing of, C- Backup from native snapshots, D- Volume backup;C;N/A;sample-questions-for-veeam-vmce-v12-exam-by-price.pdf;The feature that is unique to Veeam Agent for Linux and not available in other Veeam Agent configurations is C: Backup from native snapshots. Veeam Agent for Linux includes the ability to leverage native snapshot capabilities of the Linux kernel, such as LVM (Logical Volume Manager) snapshots or Btrfs subvolume snapshots, to create consistent point-in-time copies of data. This capability allows for application-consistent backups even in complex Linux environments, ensuring that data is captured in a consistent state without the need for custom scripting or downtime. Native snapshot support in Veeam Agent for Linux enhances the flexibility and reliability of backups, particularly in environments where Linux-based applications and databases are critical to business operations.
A Microsoft SQL server is running in a VMware VM. The VM is very sensitive to snapshots, and can only be snapshotted once per day at 3 AM. However, the RPO for the databases running inside the VM is 1 hour. Which two Application-Aware Processing Settings should be selected in the backup job so that the 1 hour RPO for the databases is met? (Choose two.);A- SQL Tab: Choose how this job should process Microsoft SQL Server Transaction Logs: Back up logs periodically, B- SQL Tab: Choose how this job should process Microsoft SQL Server Transaction Logs: Do not truncate logs, C- General Tab: VSS Settings: Perform copy only, D- SQL Tab: Choose how this job should process Microsoft SQL Server Transaction Logs: Truncate Logs, E- General Tab: VSS Settings: Process transaction logs with this job;A, E;N/A;sample-questions-for-veeam-vmce-v12-exam-by-price.pdf;To meet the 1-hour RPO for the databases within the VM, while only being able to snapshot the VM once per day, the best strategy is to enable regular transaction log backups (option A) and process transaction logs with the job (option E). This setup allows the system to capture changes in the SQL Server transaction logs at intervals less than the RPO requirement, without needing to snapshot the entire VM more frequently. Reference: Veeam Backup & Replication Documentation, Veeam Backup & Replication Best Practices Guide
For which workload can Veeam Data Platform achieve image-level backups?;A- AS/400, B- Solaris, C-IOS, D- IHP-UX;B;N/A;sample-questions-for-veeam-vmce-v12-exam-by-price.pdf;Veeam Data Platform can achieve image-level backups for Solaris workloads. This means it can create a complete backup of the system at the image level, capturing the entire state of the Solaris system, including the operating system, applications, and data. Reference: Veeam Data Platform Documentation, Veeam Solaris Backup Guide
The administrator of a VMware environment backed up by Veeam Backup & Replication has a critical server that has crashed and will not reboot. They were able to bring it back online quickly using Instant VM Recovery so people could continue to work. What else is required to complete the recovery?;A- Migrate to production, B- Commit failover, C- Commit tailback, D- Merge delta file;A;N/A;sample-questions-for-veeam-vmce-v12-exam-by-price.pdf;After using Instant VM Recovery to bring a critical crashed server back online quickly, the final step required to complete the recovery process is A: Migrate to production. Instant VM Recovery allows a VM to run directly from the backup file in a temporary location, enabling rapid recovery and minimal downtime. However, because the VM is running in this provisional state, it's essential to migrate it back to the production environment to ensure long-term stability and performance. The 'Migrate to production' operation involves moving the running VM from the backup storage to the production storage, typically involving a storage vMotion in VMware environments or a similar process in other hypervisors. This step ensures that the VM is fully restored to its original or a new production environment, solidifying the recovery and allowing the VM to operate as part of the normal infrastructure once again.
A mid-sized company uses Veeam Backup and Replication to safeguard their business-critical data from ransomware attacks. The company needs to validate backups and increase security, while improving DevOps efficiency. How can a SureBackup Job be utilized to address the company's specific needs?;A- Helps improve the data deduplication and compression ratios, B- Validates backup data and ensures backups are ransom ware-free, C- Creates a secure, isolated environment to test new applications, D- Improves recovery speed reducing RTO;C;N/A;sample-questions-for-veeam-vmce-v12-exam-by-price.pdf;A SureBackup Job in Veeam Backup and Replication can be utilized to create a secure, isolated environment to test new applications. This feature allows companies to validate backups and run their VMs in an isolated environment, providing an opportunity to test applications, patches, or updates without impacting the production environment. Reference: Veeam Backup & Replication Documentation, Veeam SureBackup Guide
A Veeam administrator is creating a protection group that needs to back up all servers for the accounting department using Veeam Agent for Microsoft Windows. New accounting servers must be automatically added to the protection group. How is this accomplished?;A- Create an Active Directory based protection group targeted at an Active Directory security group., B- Install a configuration file on each of the accounting servers that adds it to the protection group., C- Create a protection group and set it to automatically scan every three hours for new servers., D- Create a protection group that reads a CSV file listing the accounting servers.;A;N/A;sample-questions-for-veeam-vmce-v12-exam-by-price.pdf;To ensure that all servers for the accounting department are backed up and any new servers added to the department are automatically included in the protection group, the best approach is to use an Active Directory (AD) based protection group. Therefore, the correct answer is A: Create an Active Directory based protection group targeted at an Active Directory security group. By leveraging an AD-based protection group, the Veeam administrator can specify an AD security group that encompasses all user accounts or computer accounts (in this case, servers) associated with the accounting department. As new servers are introduced and added to this AD security group, Veeam Backup & Replication will automatically detect these new members during its periodic rescan (which can be scheduled as per the administrator's preferences) and include them in the protection group. This method not only automates the inclusion of new servers into the backup routine but also simplifies the management of backup policies for dynamically changing environments such as the accounting department's server infrastructure.
An administrator is asked to change a backup copy job from periodic mode to immediate mode. How can this be accomplished?;A- Enable immediate in the backup copy job settings drop down., B- Right click on the job name and choose immediate., C- Copy the original backup copy job to a different folder and remap the job., D- Create a new backup copy job and delete the original job.;D;N/A;sample-questions-for-veeam-vmce-v12-exam-by-price.pdf;To change a backup copy job from periodic mode to immediate mode, the most straightforward approach is D: Create a new backup copy job and delete the original job. Veeam Backup & Replication does not directly allow changing the mode of an existing backup copy job from periodic to immediate within the job settings. Therefore, the recommended practice is to set up a new backup copy job with the desired settings, in this case, immediate mode, which starts copying backups as soon as they are created by the primary backup job. After the new backup copy job is configured and tested to confirm it meets the requirements, the original periodic mode job can be safely deleted. This ensures a seamless transition to the immediate mode operation without risking data protection consistency or coverage.
What is the purpose of a Cache Repository when adding the file share?;A- To walk the file shares and move data to the backup repository, B- To control how fast the backup proxy can read data from the source file share, C- To make sure backup retention is being managed correctly, D- To store temporary metadata and track all objects that have changed;D;N/A;sample-questions-for-veeam-vmce-v12-exam-by-price.pdf;The purpose of a Cache Repository when adding a file share in Veeam Backup & Replication is D: To store temporary metadata and track all objects that have changed. When Veeam Backup & Replication backs up data from file shares, it uses the Cache Repository to store metadata related to the files and directories on the share. This metadata includes information about file versions, change logs, and the structure of the file share, which is essential for efficient backup operations, incremental backups, and restore operations. The Cache Repository plays a crucial role in tracking changes between backup jobs, enabling Veeam to perform quick incremental backups by only processing the data that has changed since the last backup, thereby optimizing backup performance and reducing network and storage load.
